id,owner_id,owner_kind,article_code,condition_type,text,normalized_text,required
condition_article_52_clause_1_point_m,article_52_clause_1_point_m,Point,52,condition,"Dùng thủ đoạn tinh vi, xảo quyệt hoặc tàn ác để phạm tội;",dung thu doan tinh vi xao quyet hoac tan ac de pham toi,true
condition_article_52_clause_1_point_n,article_52_clause_1_point_n,Point,52,condition,Dùng thủ đoạn hoặc phương tiện có khả năng gây nguy hại cho nhiều người để phạm tội;,dung thu doan hoac phuong tien co kha nang gay nguy hai cho nhieu nguoi de pham toi,true
condition_article_52_clause_1_point_o,article_52_clause_1_point_o,Point,52,subject_age,Xúi giục người dưới 18 tuổi phạm tội;,xui giuc nguoi duoi 18 tuoi pham toi,true
condition_article_52_clause_1_point_p,article_52_clause_1_point_p,Point,52,condition,Có hành động xảo quyệt hoặc hung hãn nhằm trốn tránh hoặc che giấu tội phạm.,co hanh dong xao quyet hoac hung han nham tron tranh hoac che giau toi pham,true
condition_article_53_clause_1,article_53_clause_1,Clause,53,aggravating_or_frame_factor,"Tái phạm là trường hợp đã bị kết án, chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý hoặc thực hiện hành vi phạm tội về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do vô ý.",tai pham la truong hop da bi ket an chua duoc xoa an tich ma lai thuc hien hanh vi pham toi do co y hoac thuc hien hanh vi pham toi ve toi pham rat nghiem trong toi pham dac biet nghiem trong do vo y,true
condition_article_53_clause_2,article_53_clause_2,Clause,53,aggravating_or_frame_factor,"Những trường hợp sau đây được coi là tái phạm nguy hiểm: a) Đã bị kết án về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại thực hiện hành vi phạm tội về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý; b) Đã tái phạm, chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý.",nhung truong hop sau day duoc coi la tai pham nguy hiem a da bi ket an ve toi pham rat nghiem trong toi pham dac biet nghiem trong do co y chua duoc xoa an tich ma lai thuc hien hanh vi pham toi ve toi pham rat nghiem trong toi pham dac biet nghiem trong do co y b da tai pham chua duoc xoa an tich ma lai thuc hien hanh vi pham toi do co y,true
condition_article_53_clause_2_point_a,article_53_clause_2_point_a,Point,53,condition,"Đã bị kết án về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại thực hiện hành vi phạm tội về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng do cố ý;",da bi ket an ve toi pham rat nghiem trong toi pham dac biet nghiem trong do co y chua duoc xoa an tich ma lai thuc hien hanh vi pham toi ve toi pham rat nghiem trong toi pham dac biet nghiem trong do co y,true
condition_article_53_clause_2_point_b,article_53_clause_2_point_b,Point,53,aggravating_or_frame_factor,"Đã tái phạm, chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý.",da tai pham chua duoc xoa an tich ma lai thuc hien hanh vi pham toi do co y,true
condition_article_54_clause_1,article_54_clause_1,Clause,54,act_and_subject,Tòa án có thể quyết định một hình phạt dưới mức thấp nhất của khung hình phạt được áp dụng nhưng phải trong khung hình phạt liền kề nhẹ hơn của điều luật khi người phạm tội có ít nhất hai tình tiết giảm nhẹ quy định tại khoản 1 Điều 51 của Bộ luật này.,toa an co the quyet dinh mot hinh phat duoi muc thap nhat cua khung hinh phat duoc ap dung nhung phai trong khung hinh phat lien ke nhe hon cua dieu luat khi nguoi pham toi co it nhat hai tinh tiet giam nhe quy dinh tai khoan 1 dieu 51 cua bo luat nay,true
condition_article_54_clause_2,article_54_clause_2,Clause,54,quantity_or_value_threshold,Tòa án có thể quyết định một hình phạt dưới mức thấp nhất của khung hình phạt được áp dụng nhưng không bắt buộc phải trong khung hình phạt liền kề nhẹ hơn của điều luật đối với người phạm tội lần đầu là người giúp sức trong vụ án đồng phạm nhưng có vai trò không đáng kể.,toa an co the quyet dinh mot hinh phat duoi muc thap nhat cua khung hinh phat duoc ap dung nhung khong bat buoc phai trong khung hinh phat lien ke nhe hon cua dieu luat doi voi nguoi pham toi lan dau la nguoi giup suc trong vu an dong pham nhung co vai tro khong dang ke,true
condition_article_54_clause_3,article_54_clause_3,Clause,54,condition,"Trong trường hợp có đủ các điều kiện quy định tại khoản 1 hoặc khoản 2 Điều này nhưng điều luật chỉ có một khung hình phạt hoặc khung hình phạt đó là khung hình phạt nhẹ nhất, thì Tòa án có thể quyết định hình phạt dưới mức thấp nhất của khung hình phạt hoặc chuyển sang một hình phạt khác thuộc loại nhẹ hơn. Lý do của việc giảm nhẹ phải được ghi rõ trong bản án.",trong truong hop co du cac dieu kien quy dinh tai khoan 1 hoac khoan 2 dieu nay nhung dieu luat chi co mot khung hinh phat hoac khung hinh phat do la khung hinh phat nhe nhat thi toa an co the quyet dinh hinh phat duoi muc thap nhat cua khung hinh phat hoac chuyen sang mot hinh phat khac thuoc loai nhe hon ly do cua viec giam nhe phai duoc ghi ro trong ban an,true
