id,owner_id,owner_kind,article_code,penalty_type,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty,text
penalty_article_242_clause_5_4,article_242_clause_5,Clause,242,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
penalty_article_242_clause_5_point_a_1,article_242_clause_5_point_a,Point,242,fine,,,600000000,2000000000,false,false,phạt tiền từ 600.000.000 đồng đến 2.000.000.000 đồng
penalty_article_242_clause_5_point_b_1,article_242_clause_5_point_b,Point,242,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_242_clause_5_point_c_1,article_242_clause_5_point_c,Point,242,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_242_clause_5_point_d_1,article_242_clause_5_point_d,Point,242,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
penalty_article_243_clause_1_1,article_243_clause_1,Clause,243,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_243_clause_1_2,article_243_clause_1,Clause,243,fine,,,100000000,1000000000,false,false,phạt tiền từ 100.000.000 đồng đến 1.000.000.000 đồng
penalty_article_243_clause_2_1,article_243_clause_2,Clause,243,imprisonment,36,84,,,false,false,phạt tù từ 03 năm đến 07 năm
penalty_article_243_clause_3_1,article_243_clause_3,Clause,243,imprisonment,84,180,,,false,false,phạt tù từ 07 năm đến 15 năm
penalty_article_243_clause_4_1,article_243_clause_4,Clause,243,fine,,,40000000,200000000,false,false,phạt tiền từ 40.000.000 đồng đến 200.000.000 đồng
penalty_article_243_clause_5_1,article_243_clause_5,Clause,243,fine,,,1000000000,4000000000,false,false,phạt tiền từ 1.000.000.000 đồng đến 4.000.000.000 đồng
penalty_article_243_clause_5_2,article_243_clause_5,Clause,243,fine,,,4000000000,10000000000,false,false,phạt tiền từ 4.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_243_clause_5_3,article_243_clause_5,Clause,243,fine,,,10000000000,14000000000,false,false,phạt tiền từ 10.000.000.000 đồng đến 14.000.000.000 đồng
penalty_article_243_clause_5_4,article_243_clause_5,Clause,243,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
penalty_article_243_clause_5_point_a_1,article_243_clause_5_point_a,Point,243,fine,,,1000000000,4000000000,false,false,phạt tiền từ 1.000.000.000 đồng đến 4.000.000.000 đồng
penalty_article_243_clause_5_point_b_1,article_243_clause_5_point_b,Point,243,fine,,,4000000000,10000000000,false,false,phạt tiền từ 4.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_243_clause_5_point_c_1,article_243_clause_5_point_c,Point,243,fine,,,10000000000,14000000000,false,false,phạt tiền từ 10.000.000.000 đồng đến 14.000.000.000 đồng
penalty_article_243_clause_5_point_d_1,article_243_clause_5_point_d,Point,243,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
