id,penalty_frame_id,role,penalty_type,text,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty
penalty_penalty_article_117_clause_3_1_main,penalty_article_117_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_118_clause_1_1_main,penalty_article_118_clause_1_1,main,imprisonment,phạt tù từ 05 năm đến 15 năm,60,180,,,false,false
penalty_penalty_article_118_clause_2_1_main,penalty_article_118_clause_2_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_118_clause_3_1_main,penalty_article_118_clause_3_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_119_clause_1_1_main,penalty_article_119_clause_1_1,main,imprisonment,phạt tù từ 10 năm đến 20 năm,120,240,,,true,false
penalty_penalty_article_119_clause_2_1_main,penalty_article_119_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 10 năm,36,120,,,false,false
penalty_penalty_article_119_clause_3_1_main,penalty_article_119_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_120_clause_1_1_main,penalty_article_120_clause_1_1,main,imprisonment,phạt tù từ 05 năm đến 15 năm,60,180,,,false,false
penalty_penalty_article_120_clause_2_1_main,penalty_article_120_clause_2_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_120_clause_3_1_main,penalty_article_120_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_121_clause_1_1_main,penalty_article_121_clause_1_1,main,imprisonment,phạt tù từ 03 năm đến 12 năm,36,144,,,false,false
penalty_penalty_article_121_clause_2_1_main,penalty_article_121_clause_2_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,false,false
penalty_penalty_article_121_clause_3_1_main,penalty_article_121_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_123_clause_1_1_main,penalty_article_123_clause_1_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,true
penalty_penalty_article_123_clause_2_1_main,penalty_article_123_clause_2_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_123_clause_3_1_main,penalty_article_123_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_124_clause_1_1_main,penalty_article_124_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_124_clause_2_1_main,penalty_article_124_clause_2_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_125_clause_1_1_main,penalty_article_125_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_125_clause_2_1_main,penalty_article_125_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_126_clause_1_1_main,penalty_article_126_clause_1_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_126_clause_2_1_main,penalty_article_126_clause_2_1,main,imprisonment,phạt tù từ 02 năm đến 05 năm,24,60,,,false,false
penalty_penalty_article_127_clause_1_1_main,penalty_article_127_clause_1_1,main,imprisonment,phạt tù từ 05 năm đến 10 năm,60,120,,,false,false
penalty_penalty_article_127_clause_2_1_main,penalty_article_127_clause_2_1,main,imprisonment,phạt tù từ 08 năm đến 15 năm,96,180,,,false,false
penalty_penalty_article_128_clause_1_1_main,penalty_article_128_clause_1_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_128_clause_2_1_main,penalty_article_128_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 10 năm,36,120,,,false,false
penalty_penalty_article_129_clause_1_1_main,penalty_article_129_clause_1_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_129_clause_2_1_main,penalty_article_129_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 12 năm,60,144,,,false,false
penalty_penalty_article_130_clause_1_1_main,penalty_article_130_clause_1_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_130_clause_2_1_main,penalty_article_130_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 12 năm,60,144,,,false,false
penalty_penalty_article_131_clause_1_1_main,penalty_article_131_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_131_clause_2_1_main,penalty_article_131_clause_2_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_132_clause_1_1_main,penalty_article_132_clause_1_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_132_clause_2_1_main,penalty_article_132_clause_2_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_132_clause_3_1_main,penalty_article_132_clause_3_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_133_clause_1_1_main,penalty_article_133_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_133_clause_2_1_main,penalty_article_133_clause_2_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_134_clause_1_1_main,penalty_article_134_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_134_clause_2_1_main,penalty_article_134_clause_2_1,main,imprisonment,phạt tù từ 02 năm đến 06 năm,24,72,,,false,false
penalty_penalty_article_134_clause_3_1_main,penalty_article_134_clause_3_1,main,imprisonment,phạt tù từ 05 năm đến 10 năm,60,120,,,false,false
penalty_penalty_article_134_clause_4_1_main,penalty_article_134_clause_4_1,main,imprisonment,phạt tù từ 07 năm đến 14 năm,84,168,,,false,false
penalty_penalty_article_134_clause_5_1_main,penalty_article_134_clause_5_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_134_clause_6_1_main,penalty_article_134_clause_6_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_135_clause_1_1_main,penalty_article_135_clause_1_1,main,fine,phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng,,,10000000,50000000,false,false
penalty_penalty_article_135_clause_2_1_main,penalty_article_135_clause_2_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_136_clause_1_1_main,penalty_article_136_clause_1_1,main,fine,phạt tiền từ 5.000.000 đồng đến 20.000.000 đồng,,,5000000,20000000,false,false
penalty_penalty_article_136_clause_2_1_main,penalty_article_136_clause_2_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_136_clause_3_1_main,penalty_article_136_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 03 năm,12,36,,,false,false
penalty_penalty_article_137_clause_1_1_main,penalty_article_137_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_137_clause_2_1_main,penalty_article_137_clause_2_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_138_clause_1_1_main,penalty_article_138_clause_1_1,main,fine,phạt tiền từ 5.000.000 đồng đến 20.000.000 đồng,,,5000000,20000000,false,false
penalty_penalty_article_138_clause_2_1_main,penalty_article_138_clause_2_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_138_clause_3_1_main,penalty_article_138_clause_3_1,main,imprisonment,phạt tù từ 01 năm đến 03 năm,12,36,,,false,false
penalty_penalty_article_139_clause_1_1_main,penalty_article_139_clause_1_1,main,imprisonment,phạt tù từ 03 tháng đến 01 năm,3,12,,,false,false
penalty_penalty_article_139_clause_1_2_main,penalty_article_139_clause_1_2,main,fine,phạt tiền từ 20.000.000 đồng đến 100.000.000 đồng,,,20000000,100000000,false,false
penalty_penalty_article_139_clause_2_1_main,penalty_article_139_clause_2_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_139_clause_3_1_main,penalty_article_139_clause_3_1,main,imprisonment,phạt tù từ 02 năm đến 05 năm,24,60,,,false,false
penalty_penalty_article_140_clause_1_1_main,penalty_article_140_clause_1_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_140_clause_2_1_main,penalty_article_140_clause_2_1,main,imprisonment,phạt tù từ 01 năm đến 03 năm,12,36,,,false,false
penalty_penalty_article_141_clause_1_1_main,penalty_article_141_clause_1_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_141_clause_2_1_main,penalty_article_141_clause_2_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_141_clause_3_1_main,penalty_article_141_clause_3_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_141_clause_4_1_main,penalty_article_141_clause_4_1,main,imprisonment,phạt tù từ 05 năm đến 10 năm,60,120,,,false,false
penalty_penalty_article_142_clause_1_1_main,penalty_article_142_clause_1_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_142_clause_2_1_main,penalty_article_142_clause_2_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,false,false
penalty_penalty_article_142_clause_3_1_main,penalty_article_142_clause_3_1,main,imprisonment,phạt tù 20 năm,240,240,,,true,true
penalty_penalty_article_143_clause_1_1_main,penalty_article_143_clause_1_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_143_clause_2_1_main,penalty_article_143_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 10 năm,36,120,,,false,false
penalty_penalty_article_143_clause_3_1_main,penalty_article_143_clause_3_1,main,imprisonment,phạt tù từ 10 năm đến 18 năm,120,216,,,false,false
penalty_penalty_article_143_clause_4_1_main,penalty_article_143_clause_4_1,main,imprisonment,phạt tù từ 02 năm đến 07 năm,24,84,,,false,false
penalty_penalty_article_144_clause_1_1_main,penalty_article_144_clause_1_1,main,imprisonment,phạt tù từ 05 năm đến 10 năm,60,120,,,false,false
penalty_penalty_article_144_clause_2_1_main,penalty_article_144_clause_2_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_144_clause_3_1_main,penalty_article_144_clause_3_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_145_clause_1_1_main,penalty_article_145_clause_1_1,main,imprisonment,phạt tù từ 01 năm đến 05 năm,12,60,,,false,false
penalty_penalty_article_145_clause_2_1_main,penalty_article_145_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 10 năm,36,120,,,false,false
penalty_penalty_article_145_clause_3_1_main,penalty_article_145_clause_3_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_146_clause_1_1_main,penalty_article_146_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_146_clause_2_1_main,penalty_article_146_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_146_clause_3_1_main,penalty_article_146_clause_3_1,main,imprisonment,phạt tù từ 07 năm đến 12 năm,84,144,,,false,false
penalty_penalty_article_147_clause_1_1_main,penalty_article_147_clause_1_1,main,imprisonment,phạt tù từ 06 tháng đến 03 năm,6,36,,,false,false
penalty_penalty_article_147_clause_2_1_main,penalty_article_147_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_147_clause_3_1_main,penalty_article_147_clause_3_1,main,imprisonment,phạt tù từ 07 năm đến 12 năm,84,144,,,false,false
penalty_penalty_article_148_clause_1_1_main,penalty_article_148_clause_1_1,main,imprisonment,phạt tù từ 01 năm đến 03 năm,12,36,,,false,false
penalty_penalty_article_148_clause_2_1_main,penalty_article_148_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_149_clause_1_1_main,penalty_article_149_clause_1_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_149_clause_2_1_main,penalty_article_149_clause_2_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_149_clause_3_1_main,penalty_article_149_clause_3_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
