id,crime_id,article_id,article_code,requirement_type,text,normalized_text
consreq_crime_157_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nguoi_bi_bat_gi,crime_157,article_157,157,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của người bị bắt, giữ, giam mà tỷ lệ tổn thương cơ thể từ 31% đến 60%",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nguoi bi bat giu giam ma ty le ton thuong co the tu 31 den 60
consreq_crime_157_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nguoi_bi_bat_gi,crime_157,article_157,157,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của người bị bắt, giữ, giam mà tỷ lệ tổn thương cơ thể 61% trở lên",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nguoi bi bat giu giam ma ty le ton thuong co the 61 tro len
consreq_crime_157_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nguoi_bi_bat_giu_giam_ma_ty_le_ton_,crime_157,article_157,157,consequence,"tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của người bị bắt, giữ, giam mà tỷ lệ tổn thương cơ thể từ 31% đến 60%",ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nguoi bi bat giu giam ma ty le ton thuong co the tu 31 den 60
consreq_crime_157_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nguoi_bi_bat_giu_giam_ma_ty_le_ton_,crime_157,article_157,157,consequence,"tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của người bị bắt, giữ, giam mà tỷ lệ tổn thương cơ thể 61% trở lên",ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nguoi bi bat giu giam ma ty le ton thuong co the 61 tro len
consreq_crime_162_consequence_hau_qua_nghiem_trong_thi_bi_phat_tien_tu_10,crime_162,article_162,162,consequence,"hậu quả nghiêm trọng, thì bị phạt tiền từ 10",hau qua nghiem trong thi bi phat tien tu 10
consreq_crime_162_consequence_hau_qua_rat_nghiem_trong_hoac_dac_biet_nghiem_trong_khac,crime_162,article_162,162,consequence,hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng khác,hau qua rat nghiem trong hoac dac biet nghiem trong khac
consreq_crime_166_consequence_gay_thiet_hai_cho_nguoi_khieu_nai_to_cao,crime_166,article_166,166,consequence,"gây thiệt hại cho người khiếu nại, tố cáo",gay thiet hai cho nguoi khieu nai to cao
consreq_crime_168_consequence_lam_chet_nguoi,crime_168,article_168,168,consequence,Làm chết người,lam chet nguoi
consreq_crime_168_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nguoi_khac_ma_ty_le_ton_thuong_co_the_tu_11_den_,crime_168,article_168,168,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 11% đến 30%,gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac ma ty le ton thuong co the tu 11 den 30
consreq_crime_168_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nguoi_khac_ma_ty_le_ton_thuong_co_the_tu_31_den_,crime_168,article_168,168,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 31% đến 60%,gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac ma ty le ton thuong co the tu 31 den 60
