id,crime_id,article_id,article_code,owner_id,owner_kind,text,min_value,max_value,unit,normalized_text
threshold_condition_article_229_clause_4_000_000_dong_den_150_000,crime_229,article_229,229,condition_article_229_clause_4,Condition,000.000 đồng đến 150.000,000.000,150.000,vnd,000 000 dong den 150 000
threshold_condition_article_229_clause_4_000_dong,crime_229,article_229,229,condition_article_229_clause_4,Condition,000 đồng,000,,vnd,000 dong
threshold_condition_article_229_clause_1_point_b_000_000_dong_den,crime_229,article_229,229,condition_article_229_clause_1_point_b,Condition,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_condition_article_229_clause_1_point_b_000_000_dong,crime_229,article_229,229,condition_article_229_clause_1_point_b,Condition,000.000 đồng,000.000,,vnd,000 000 dong
threshold_condition_article_229_clause_2_point_c_000_000_dong_den,crime_229,article_229,229,condition_article_229_clause_2_point_c,Condition,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_condition_article_229_clause_2_point_c_000_000_dong,crime_229,article_229,229,condition_article_229_clause_2_point_c,Condition,000.000 đồng,000.000,,vnd,000 000 dong
threshold_condition_article_229_clause_3_point_b_000_000_dong_tro_len,crime_229,article_229,229,condition_article_229_clause_3_point_b,Condition,000.000 đồng trở lên,000.000,,vnd,000 000 dong tro len
threshold_article_229_clause_1_000_000_dong_den,crime_229,article_229,229,article_229_clause_1,Clause,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_229_clause_1_000_000_dong,crime_229,article_229,229,article_229_clause_1,Clause,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_229_clause_2_000_000_dong_den,crime_229,article_229,229,article_229_clause_2,Clause,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_229_clause_2_000_000_dong,crime_229,article_229,229,article_229_clause_2,Clause,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_229_clause_3_000_000_dong_tro_len,crime_229,article_229,229,article_229_clause_3,Clause,000.000 đồng trở lên,000.000,,vnd,000 000 dong tro len
threshold_article_229_clause_4_000_000_dong_den_150_000,crime_229,article_229,229,article_229_clause_4,Clause,000.000 đồng đến 150.000,000.000,150.000,vnd,000 000 dong den 150 000
threshold_article_229_clause_4_000_dong,crime_229,article_229,229,article_229_clause_4,Clause,000 đồng,000,,vnd,000 dong
threshold_article_229_clause_1_point_b_000_000_dong_den,crime_229,article_229,229,article_229_clause_1_point_b,Point,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_229_clause_1_point_b_000_000_dong,crime_229,article_229,229,article_229_clause_1_point_b,Point,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_229_clause_2_point_c_000_000_dong_den,crime_229,article_229,229,article_229_clause_2_point_c,Point,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_article_229_clause_2_point_c_000_000_dong,crime_229,article_229,229,article_229_clause_2_point_c,Point,000.000 đồng,000.000,,vnd,000 000 dong
